0,1,2,3,5,7,9,11,13,15
,,,,,,,,,
,Quarter Ended,,,,,,,,
,"Mar 31, 2019",,"Jun 30, 2019","Sept 30, 2019","Dec 31, 2019","Mar 31, 2020","Jun 30, 2020","Sept 30, 2020","Dec 31, 2020"
,"(In millions, except per share amounts) (unaudited)",,,,,,,,
Consolidated Statements of Income Data:,,,,,,,,,
Revenues,"36,339",,"38,944","40,499","46,075","41,159","38,297","46,173","56,898"
Costs and expenses:,,,,,,,,,
Cost of revenues,"16,012",,"17,296","17,568","21,020","18,982","18,553","21,117","26,080"
Research and development,"6,029",,"6,213","6,554","7,222","6,820","6,875","6,856","7,022"
Sales and marketing,"3,905",,"4,212","4,609","5,738","4,500","3,901","4,231","5,314"
General and administrative,"2,088",,"2,043","2,591","2,829","2,880","2,585","2,756","2,831"
European Commission fines,"1,697",,0,0,0,0,0,0,0
Total costs and expenses,"29,731",,"29,764","31,322","36,809","33,182","31,914","34,960","41,247"
Income from operations,"6,608",,"9,180","9,177","9,266","7,977","6,383","11,213","15,651"
"Other income (expense), net","1,538",,"2,967",(549),"1,438",(220),"1,894","2,146","3,038"
Income before income taxes,"8,146",,"12,147","8,628","10,704","7,757","8,277","13,359","18,689"
Provision for income taxes,"1,489",,"2,200","1,560",33,921,"1,318","2,112","3,462"
Net income,"6,657",,"9,947","7,068","10,671","6,836","6,959","11,247","15,227"
Basic net income per share of Class A and B common stock and Class C capital stock,9.58,,14.33,10.20,15.49,9.96,10.21,16.55,22.54
Diluted net income per share of Class A and B common stock and Class C capital stock,9.50,,14.21,10.12,15.35,9.87,10.13,16.40,22.30
