label,value,statement,statement_confidence,category,category_confidence
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"-1,311,000,000",cashflow,0.5608883741915045,Operating Expenses,0.10584441055462464
StockholdersEquityOther,"-6,000,000",income,0.6471041631199168,Operating Expenses,0.10660470888229497
DeferredIncomeTaxesAndTaxCredits,"-7,893,000,000",income,0.7014894701856984,comprehensive income,0.10792395291154329
CommonStockDividendsPerShareDeclared,2,income,0.6821352822182375,financing activities,0.11544422888407681
DeferredForeignIncomeTaxExpenseBenefit,"-140,000,000",income,0.7253836372731138,Operating Expenses,0.11586583839569005
EffectiveIncomeTaxRateContinuingOperations,0,income,0.7274458841479491,comprehensive income,0.11612768694614978
CapitalExpendituresIncurredButNotYetPaid,"14,551,000,000",income,0.6175997316920573,Operating Expenses,0.11636131837242142
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"146,910,000,000",income,0.7472576358269774,comprehensive income,0.11652249126052117
DeferredIncomeTaxExpenseBenefit,"-7,883,000,000",income,0.7272584105466895,Operating Expenses,0.11673842407161697
RevenueFromContractWithCustomerExcludingAssessedTax,"1,853,997,000,000",income,0.674781084679153,operating activities,0.11682321985540595
NumberOfReportableSegments,2,income,0.6258044345831727,comprehensive income,0.11688108887346399
NumberOfReportingUnits,2,income,0.6522760337362098,Operating Expenses,0.11714643381901362
InterestPaidNet,"934,000,000",income,0.6419867385559531,Operating Expenses,0.11725533927893173
CurrentIncomeTaxExpenseBenefit,"30,135,000,000",income,0.7358113061552618,Operating Expenses,0.11751155365781828
InvestmentIncomeInterest,"4,617,000,000",income,0.653496934584457,comprehensive income,0.11873807909135571
CostOfRevenue,"81,369,000,000",income,0.7227833915982522,Operating Expenses,0.1187420648257395
DeferredFederalIncomeTaxExpenseBenefit,"-7,418,000,000",income,0.725444118271596,Operating Expenses,0.11925549144458199
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-325,000,000",income,0.722692430624344,Operating Expenses,0.11956424432324232
IncomeTaxExpenseBenefit,"22,252,000,000",income,0.7287159399080783,Operating Expenses,0.12204649031175592
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"462,000,000",income,0.5911810049537574,operating activities,0.12477081330037944
IncomeTaxesPaidNet,"23,568,000,000",income,0.6669157127794368,comprehensive income,0.12526032366793413
TangibleAssetImpairmentCharges,"3,036,000,000",income,0.6027968211882836,Operating Expenses,0.12561370649822612
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"441,000,000",income,0.6000969196195484,comprehensive income,0.12568032699993606
CurrentForeignTaxExpenseBenefit,"7,312,000,000",income,0.7157674344402235,Operating Expenses,0.1262972667812116
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,063,000,000",income,0.6101888130658214,comprehensive income,0.12792591622392205
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,"88,000,000",income,0.6557380068537354,comprehensive income,0.128938294209956
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,"134,866,000,000",income,0.7360585890449481,comprehensive income,0.12941592709004396
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"28,573,000,000",cashflow,0.6317026030822241,operating activities,0.12942287997449956
CurrentStateAndLocalTaxExpenseBenefit,"2,226,000,000",income,0.7061972012208414,Operating Expenses,0.13049855436229352
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0,income,0.7033140341855552,comprehensive income,0.13075449259646849
CurrentFederalTaxExpenseBenefit,"20,597,000,000",income,0.7096022015778971,Operating Expenses,0.13099234907531582
StockIssuedDuringPeriodSharesNewIssues,"119,000,000",income,0.5601006335635309,financing activities,0.1314455575125522
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0,income,0.7058660544117671,comprehensive income,0.1326334565093846
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"12,044,000,000",income,0.7375903932934019,comprehensive income,0.1327919423625986
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,0,income,0.7050704864815351,comprehensive income,0.134372135714953
ImpairmentOfLongLivedAssetsHeldForUse,"9,683,000,000",income,0.5961134414515536,comprehensive income,0.13534263845484523
EffectiveIncomeTaxRateReconciliationFdiiPercent,0,income,0.6994618345915036,comprehensive income,0.13536434187051805
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0,income,0.70990663711607,comprehensive income,0.13558818321251973
LongTermPurchaseCommitmentAmount,"24,970,000,000",income,0.5915399388843802,Operating Expenses,0.13697638001583964
OperatingIncomeLoss,"290,150,000,000",income,0.7754542807566716,nonoperating expenses,0.13975614164012304
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"5,252,000,000",income,0.6364023728938334,comprehensive income,0.14369721711439434
CostsAndExpenses,"270,937,000,000",income,0.7166089895360953,Operating Expenses,0.14417618964213263
DividendsCommonStock,"5,121,000,000",income,0.6093023946672181,financing activities,0.14438787109820297
GoodwillAcquiredDuringPeriod,"357,000,000",cashflow,0.540625583194765,investing activities,0.14933510894842633
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0,income,0.6767537491221439,comprehensive income,0.15138651081066998
AmortizationOfIntangibleAssets,"557,000,000",income,0.639025427554039,Operating Expenses,0.1524512426804761
OtherCostAndExpenseOperating,"310,958,000,000",income,0.7186658858559162,Operating Expenses,0.15641976072444452
NetCashProvidedByUsedInInvestingActivities,"-100,615,000,000",cashflow,0.622842376393286,investing activities,0.1604218746925804
LaborAndRelatedExpense,"230,916,000,000",income,0.6719891899706038,Operating Expenses,0.1665059950790718
EarningsPerShareBasic,48,income,0.7245371580223358,earnings per share,0.16676022866264442
NetIncomeLoss,"124,658,000,000",income,0.7745065551750374,net income,0.16692075216175264
UndistributedEarnings,"119,586,000,000",income,0.5654263169849774,disclosures,0.1684239982938301
EarningsPerShareDiluted,47,income,0.720150030785493,earnings per share,0.17223880983531492
WeightedAverageNumberOfSharesOutstandingBasic,"15,590,000,000",income,0.7251877915368636,earnings per share,0.17395196367549282
ProceedsFromIssuanceOfLongTermDebt,"28,808,000,000",cashflow,0.523749153234965,financing activities,0.17551744771235525
NetIncomeLossAttributableToParentDiluted,"124,658,000,000",income,0.7385411552443835,comprehensive income,0.1762250625027152
WeightedAverageNumberOfDilutedSharesOutstanding,"7,945,000,000",income,0.7216990377063851,earnings per share,0.17642133716293817
InterestExpenseDebt,"1,263,000,000",income,0.7255700204507227,Operating Expenses,0.17692774979631257
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,"150,000,000",income,0.5246752184755904,disclosures,0.18011858641112638
NetCashProvidedByUsedInOperatingActivities,"212,916,000,000",cashflow,0.5966546853286976,operating activities,0.18115850845984352
AdvertisingExpense,"6,730,000,000",income,0.6945125271785105,Operating Expenses,0.18452761695765757
OperatingLeasePayments,"6,717,000,000",income,0.658198701162852,comprehensive income,0.18527378383117374
NetCashProvidedByUsedInFinancingActivities,"-82,417,000,000",cashflow,0.6071176009275548,financing activities,0.1896638628110091
OtherNoncashIncomeExpense,"-1,363,000,000",income,0.5724689377284962,operating activities,0.19217214527014384
ForeignCurrencyTransactionGainLossBeforeTax,"-1,137,000,000",income,0.7463845464940924,nonoperating expenses,0.19397493678755573
ProceedsFromPaymentsForOtherFinancingActivities,"-44,000,000",cashflow,0.6052881550976447,financing activities,0.19440432997568466
