contextRef,count
c-1,210
c-20,138
c-18,106
c-19,105
c-21,97
c-145,9
c-74,8
c-87,8
c-69,7
c-73,7
c-76,7
c-71,7
c-72,7
c-79,7
c-70,7
c-64,7
c-65,7
c-66,7
c-68,7
c-77,7
c-78,7
c-83,7
c-63,7
c-86,7
c-84,7
c-85,7
c-82,7
c-81,7
c-80,7
c-67,7
c-22,6
c-163,4
c-149,4
c-150,4
c-161,4
c-162,4
c-116,4
c-164,4
c-34,4
c-36,4
c-35,4
c-157,4
c-155,4
c-153,4
c-182,4
c-165,4
c-159,4
c-158,4
c-156,4
c-151,4
c-152,4
c-6,3
c-9,3
c-16,3
c-3,3
c-2,3
c-4,3
c-5,3
c-8,3
c-15,3
c-23,3
c-29,3
c-28,3
c-7,3
c-147,3
c-166,3
c-146,3
c-154,3
c-160,3
c-148,3
c-89,3
c-90,3
c-75,3
c-62,3
c-17,3
c-27,3
c-32,2
c-13,2
c-60,2
c-59,2
c-58,2
c-12,2
c-14,2
c-39,2
c-38,2
c-57,2
c-142,2
c-139,2
c-138,2
c-144,2
c-121,2
c-125,2
c-135,2
c-136,2
c-120,2
c-133,2
c-131,2
c-126,2
c-124,2
c-88,2
c-140,2
c-132,2
c-25,2
c-24,2
c-31,2
c-11,1
c-46,1
c-45,1
c-44,1
c-43,1
c-42,1
c-41,1
c-40,1
c-37,1
c-30,1
c-26,1
c-33,1
c-10,1
c-50,1
c-49,1
c-48,1
c-47,1
c-118,1
c-117,1
c-111,1
c-110,1
c-106,1
c-109,1
c-108,1
c-107,1
c-104,1
c-105,1
c-103,1
c-102,1
c-94,1
c-101,1
c-100,1
c-99,1
c-98,1
c-97,1
c-96,1
c-95,1
c-92,1
c-93,1
c-91,1
c-51,1
c-56,1
c-55,1
c-61,1
c-52,1
c-54,1
c-53,1
c-115,1
c-114,1
c-112,1
c-113,1
c-137,1
c-141,1
c-123,1
c-122,1
c-119,1
c-127,1
c-130,1
c-129,1
c-128,1
c-134,1
c-143,1
c-167,1
c-169,1
c-168,1
c-171,1
c-172,1
c-173,1
c-170,1
c-174,1
c-175,1
c-177,1
c-176,1
c-178,1
c-179,1
c-180,1
c-181,1
